City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,ixtapa,20.7,-105.2,22.9,76,20,1.21,MX,1732978549
112,morehead city,34.7229,-76.726,6.11,52,0,5.14,US,1732978550
113,sitka,57.0531,-135.33,-4.06,63,0,1.54,US,1732978551
114,port augusta,-32.5,137.7667,18.5,68,38,4.17,AU,1732978552
115,felipe carrillo puerto,19.5833,-88.05,25.26,74,14,1.61,MX,1732978553
116,aasiaat,68.7098,-52.8699,-17.95,100,96,2.65,GL,1732978555
117,badger,64.8,-147.5333,-21.07,74,0,2.06,US,1732978556
118,hoemul-li,41.4339,129.67,1.85,56,2,3.65,KP,1732978558
119,carnarvon,-24.8667,113.6333,22.93,76,64,6.92,AU,1732978559
120,mukalla,14.5425,49.1242,25.87,65,5,1.63,YE,1732978466
121,lata,40.1629,-8.3327,23.05,54,100,1.74,PT,1732978561
122,kingscliff,-28.2667,153.5667,22.89,100,100,5.14,AU,1732978564
123,weatherford,32.7593,-97.7972,5.5,67,100,1.79,US,1732978439
124,badagry,6.4167,2.8833,31.86,37,61,3.35,NG,1732978566
125,tromso,69.6496,18.957,-1.99,80,75,0.51,NO,1732978567
126,cabedelo,-6.9811,-34.8339,31.37,62,63,5.97,BR,1732978568
127,nogliki,51.8333,143.1667,-4.97,89,83,4.35,RU,1732978569
128,alice springs,-23.7,133.8833,27.75,42,100,3.6,AU,1732978571
129,chinchilla,-26.75,150.6333,22.23,99,83,3.29,AU,1732978572
130,anadyr,64.75,177.4833,-0.72,86,75,12.0,RU,1732978573
131,dolinsk,47.35,142.8,-1.37,80,100,6.5,RU,1732978574
132,bargaal,11.2864,51.0773,26.45,69,64,7.28,SO,1732978575
133,severo-yeniseyskiy,60.3725,93.0408,-21.65,98,19,1.47,RU,1732978576
134,bredasdorp,-34.5322,20.0403,22.16,53,24,5.56,ZA,1732978578
135,coahuayana de hidalgo,18.7,-103.6583,26.9,75,34,0.6,MX,1732978579
136,yoloten,37.2989,62.3597,7.92,50,23,3.21,TM,1732978580
137,san ignacio de velasco,-16.3667,-60.95,35.33,36,100,4.27,BO,1732978581
138,askoy,60.4092,5.226,9.16,100,100,6.17,NO,1732978582
139,atafu village,-8.5421,-172.5159,28.21,69,41,6.15,TK,1732978583
140,miyazu,35.5333,135.1833,7.79,79,100,2.84,JP,1732978584
141,east london,-33.0153,27.9116,24.52,60,20,4.12,ZA,1732978585
142,craig,40.5153,-107.5464,-13.21,78,0,0.0,US,1732978587
143,kirakira,-10.4544,161.9205,25.83,88,67,1.89,SB,1732978588
144,springbok,-29.6643,17.8865,28.05,18,11,8.03,ZA,1732978589
145,ciudad valles,21.9833,-99.0167,18.45,60,90,0.37,MX,1732978590
146,sharm el-sheikh,27.8518,34.305,24.08,46,0,5.66,EG,1732978591
147,broome,42.2506,-75.833,-1.83,75,100,5.14,US,1732978592
148,martil,35.6166,-5.2752,21.98,68,0,2.57,MA,1732978593
149,swift current,50.2834,-107.8014,-15.55,85,100,4.12,CA,1732978594
150,brisas de zicatela,15.8369,-97.0419,26.66,48,0,0.75,MX,1732978595
151,ambalavao,-21.8333,46.9333,16.82,93,100,2.23,MG,1732978596
152,aykhal,66.0,111.5,-30.02,100,93,2.04,RU,1732978598
153,vilyuchinsk,52.9306,158.4028,0.15,91,100,3.05,RU,1732978599
154,manggar,-2.8833,108.2667,26.71,82,85,1.3,ID,1732978600
155,tiksi,71.6872,128.8694,-19.84,98,100,2.83,RU,1732978601
156,turpan,42.9333,89.1667,1.06,49,100,0.32,CN,1732978603
157,wuwei,37.9281,102.6414,-0.44,47,0,1.42,CN,1732978604
158,afaahiti,-17.75,-149.2833,25.62,83,100,5.87,PF,1732978606
159,cooma,-36.2333,149.1333,13.0,98,92,1.36,AU,1732978607
160,geneina,13.45,22.45,27.52,13,10,2.81,SD,1732978608
161,lompoc,34.6391,-120.4579,11.4,79,0,4.12,US,1732978609
162,longyearbyen,78.2186,15.6401,-10.09,67,75,7.72,SJ,1732978610
163,cascais,38.6979,-9.4215,20.53,89,20,3.09,PT,1732978611
164,coquimbo,-29.9533,-71.3436,16.85,77,75,5.14,CL,1732978363
165,sinabang,2.4803,96.3801,26.3,79,91,1.93,ID,1732978613
166,cu chi,10.9667,106.4667,27.01,77,100,1.77,VN,1732978614
167,saipan,15.1355,145.701,27.39,83,40,3.6,MP,1732978617
168,taseyevo,57.2169,94.8978,-18.01,94,7,1.56,RU,1732978618
169,kipushi,-11.7667,27.2333,21.63,86,96,2.51,CD,1732978619
170,chibougamau,49.9168,-74.3659,-6.21,93,100,3.6,CA,1732978446
171,fort bragg,35.139,-79.006,4.91,55,0,5.66,US,1732978621
172,port macquarie,-31.4333,152.9167,21.71,99,100,1.34,AU,1732978623
173,karasburg,-28.0167,18.75,34.17,5,0,7.43,NA,1732978624
174,shrigonda,18.6167,74.6833,21.33,49,98,4.49,IN,1732978625
175,new norfolk,-42.7826,147.0587,16.07,99,100,3.25,AU,1732978626
176,loango,-4.6719,11.8312,26.65,81,91,3.41,CG,1732978627
177,lumut,4.2323,100.6298,26.01,89,20,1.54,MY,1732978628
178,thompson,55.7435,-97.8558,-12.91,85,100,3.6,CA,1732978629
179,vorgashor,67.5833,63.95,-5.5,96,100,4.39,RU,1732978509
180,vicksburg,32.3526,-90.8779,2.85,75,0,2.57,US,1732978632
181,lodwar,3.1191,35.5973,33.08,32,40,3.91,KE,1732978633
182,utrik,11.2278,169.8474,28.03,78,99,10.51,MH,1732978634
183,ust-nera,64.5667,143.2,-21.76,100,53,1.02,RU,1732978636
184,hithadhoo,-0.6,73.0833,27.63,78,43,8.09,MV,1732978637
185,kiskoros,46.6214,19.2853,6.14,72,92,4.96,HU,1732978639
186,lionel town,17.8101,-77.2406,28.52,72,58,4.06,JM,1732978641
187,st. john's,47.5649,-52.7093,5.71,86,100,2.57,CA,1732978642
188,beloyarskiy,63.7119,66.6722,-4.75,95,100,3.1,RU,1732978643
189,howard springs,-12.497,131.047,27.95,80,53,1.71,AU,1732978644
190,ishim,56.1128,69.4902,-10.15,94,98,3.1,RU,1732978645
191,itupiranga,-5.1347,-49.3267,34.83,39,94,2.06,BR,1732978647
192,zykovo,55.9519,93.1461,-14.47,94,5,1.69,RU,1732978648
193,haiku-pauwela,20.9219,-156.3051,21.78,79,99,7.6,US,1732978649
194,fisterra,42.9049,-9.2629,16.39,93,100,11.7,ES,1732978650
195,new plymouth,-39.0667,174.0833,17.12,100,100,2.41,NZ,1732978651
196,mahajanga,-15.7167,46.3167,30.01,74,40,6.69,MG,1732978652
197,okha,53.5739,142.9478,-4.42,90,71,1.99,RU,1732978653
198,medicine hat,50.0501,-110.6683,-14.88,88,75,1.54,CA,1732978566
199,malango,-2.9627,119.9001,20.62,99,100,1.11,ID,1732978656
200,stranraer,54.9023,-5.0273,12.71,89,100,11.91,GB,1732978657
201,bobov dol,42.3697,23.0172,1.15,100,100,2.4,BG,1732978658
202,cannonvale,-20.2833,148.7,24.66,89,64,0.09,AU,1732978659
203,camacupa,-12.0167,17.4833,26.78,52,69,2.42,AO,1732978660
204,presidencia roque saenz pena,-26.7852,-60.4388,26.68,75,100,3.18,AR,1732978406
